,result
"(50, 60]",72
"(40, 50]",55
"(60, 70]",53
"(20, 30]",36
"(70, 80]",32
"(30, 40]",30
"(0, 10]",29
"(10, 20]",26
"(80, 90]",14
"(90, 100]",7
